title,genres,director,cast,vote_average,metadata
Avatar,Action|Adventure|Fantasy|Science Fiction,James Cameron,Sam Worthington|Zoe Saldana|Sigourney Weaver,7.2,Action|Adventure|Fantasy|Science Fiction James Cameron Sam Worthington|Zoe Saldana|Sigourney Weaver
Pirates of the Caribbean: At World's End,Adventure|Fantasy|Action,Gore Verbinski,Johnny Depp|Orlando Bloom|Keira Knightley,6.9,Adventure|Fantasy|Action Gore Verbinski Johnny Depp|Orlando Bloom|Keira Knightley
Spectre,Action|Adventure|Crime,Sam Mendes,Daniel Craig|Christoph Waltz|Léa Seydoux,6.3,Action|Adventure|Crime Sam Mendes Daniel Craig|Christoph Waltz|Léa Seydoux
The Dark Knight Rises,Action|Crime|Drama|Thriller,Christopher Nolan,Christian Bale|Michael Caine|Gary Oldman,7.6,Action|Crime|Drama|Thriller Christopher Nolan Christian Bale|Michael Caine|Gary Oldman
John Carter,Action|Adventure|Science Fiction,Andrew Stanton,Taylor Kitsch|Lynn Collins|Samantha Morton,6.1,Action|Adventure|Science Fiction Andrew Stanton Taylor Kitsch|Lynn Collins|Samantha Morton
Spider-Man 3,Fantasy|Action|Adventure,Sam Raimi,Tobey Maguire|Kirsten Dunst|James Franco,5.9,Fantasy|Action|Adventure Sam Raimi Tobey Maguire|Kirsten Dunst|James Franco
Tangled,Animation|Family,Byron Howard,Zachary Levi|Mandy Moore|Donna Murphy,7.4,Animation|Family Byron Howard Zachary Levi|Mandy Moore|Donna Murphy
Avengers: Age of Ultron,Action|Adventure|Science Fiction,Joss Whedon,Robert Downey Jr.|Chris Hemsworth|Mark Ruffalo,7.3,Action|Adventure|Science Fiction Joss Whedon Robert Downey Jr.|Chris Hemsworth|Mark Ruffalo
Harry Potter and the Half-Blood Prince,Adventure|Fantasy|Family,David Yates,Daniel Radcliffe|Rupert Grint|Emma Watson,7.4,Adventure|Fantasy|Family David Yates Daniel Radcliffe|Rupert Grint|Emma Watson
Batman v Superman: Dawn of Justice,Action|Adventure|Fantasy,Zack Snyder,Ben Affleck|Henry Cavill|Gal Gadot,5.7,Action|Adventure|Fantasy Zack Snyder Ben Affleck|Henry Cavill|Gal Gadot
Superman Returns,Adventure|Fantasy|Action|Science Fiction,Bryan Singer,Brandon Routh|Kevin Spacey|Kate Bosworth,5.4,Adventure|Fantasy|Action|Science Fiction Bryan Singer Brandon Routh|Kevin Spacey|Kate Bosworth
Quantum of Solace,Adventure|Action|Thriller|Crime,Marc Forster,Daniel Craig|Olga Kurylenko|Mathieu Amalric,6.1,Adventure|Action|Thriller|Crime Marc Forster Daniel Craig|Olga Kurylenko|Mathieu Amalric
Pirates of the Caribbean: Dead Man's Chest,Adventure|Fantasy|Action,Gore Verbinski,Johnny Depp|Orlando Bloom|Keira Knightley,7.0,Adventure|Fantasy|Action Gore Verbinski Johnny Depp|Orlando Bloom|Keira Knightley
The Lone Ranger,Action|Adventure|Western,Gore Verbinski,Johnny Depp|Armie Hammer|William Fichtner,5.9,Action|Adventure|Western Gore Verbinski Johnny Depp|Armie Hammer|William Fichtner
Man of Steel,Action|Adventure|Fantasy|Science Fiction,Zack Snyder,Henry Cavill|Amy Adams|Michael Shannon,6.5,Action|Adventure|Fantasy|Science Fiction Zack Snyder Henry Cavill|Amy Adams|Michael Shannon
The Chronicles of Narnia: Prince Caspian,Adventure|Family|Fantasy,Andrew Adamson,Ben Barnes|William Moseley|Anna Popplewell,6.3,Adventure|Family|Fantasy Andrew Adamson Ben Barnes|William Moseley|Anna Popplewell
The Avengers,Science Fiction|Action|Adventure,Joss Whedon,Robert Downey Jr.|Chris Evans|Mark Ruffalo,7.4,Science Fiction|Action|Adventure Joss Whedon Robert Downey Jr.|Chris Evans|Mark Ruffalo
